study.ID,action.name,synopsis,summary,simplifieddesign,year,country,continent,correct,corrected category
4909,Release captive-bred Mallorcan midwife toads,Amphibian Conservation,"A replicated study in 1989–2001 in Mallorca (Griffiths, García &amp; Oliver 2008) found that released captive-bred Mallorcan midwife toads Alytes muletensis established stable and in some cases increasing, breeding populations at all 18 release sites. Seventy-six captive-bred tadpoles were released at two sites in 1989. Toadlets and tadpoles were then released on an annual basis up to 1997 and less regularly until 2001. Toads were screened for disease before release. Tadpoles were counted annually at the 18 release sites. ",After,2008,Spain,Europe,Yes,NA
4959,Captive breeding toads,Amphibian Conservation,"A replicated study in 2000–2006 of Kihansi spray toads Nectophrynoides asperginis at zoos in the USA (Lee et al. 2006) found that toads bred successfully in captivity. Within the first six months, 82% of 269 founders and 43% of toadlets died. However, by 2006 this captive population was 159 toads. A total of 401 toadlets were born in the first year, with second generation toads born the following year. A second captive population of 230 founders initially doubled, declined to 32 toads and then increased to 130 by 2006. Ceasing or reducing misting inhibited reproductive activity. Primary diseases were lungworm infection and Gram-negative septicaemia; other health issues were also recorded. In November 2000, 499 adults were collected from the one remaining wild population. Following quarantine, the 269 toads maintained at Bronx Zoo were separated into 13 groups of 20–31 toads. Aquaria (38–76 L) were misted 4–9 times/day. Toadlets were transferred into smaller aquariums. The other 230 toads were transported to the National Amphibian  Conservation Center (three zoos). ",After,2006,United States,North America,Yes,NA
4213,Change tillage practices,Soil Fertility,"A replicated experiment in 2005 on sandy loam in El Batán, Mexico (Govaerts et al. 2007) found that the rate at which microbes used carbon (metabolic activity) was higher when under conventional tillage with residue retention compared to zero tillage with residue removal, in maize. Soil microbial biomass was higher in wheat Triticum aestivum (369 mg C/kg) compared to maize Zea mays (319 mg C/kg). There were two tillage treatments: zero and conventional tillage. Within these were two residue treatments; removed or retained. Within these were maize and wheat crops, which were fertilized at 120 kgN/ha. Crop rotation plots (continuous wheat/maize, wheat and maize) were 7.5 x 22 m. There were two replications. Soil samples were collected to 15 cm depth from all plots. Total nitrogen and organic carbon were measured. ",After,2007,Mexico,North America,Yes,NA
1313,Provide supplementary food for songbirds to increase adult survival,Bird Conservation,"A controlled study in the winters of 1985-6 and 1986-7 in two small deciduous forest sites in Alberta, Canada (Desrochers et al. 1988), found that winter survival of black-capped chickadees Parus atricapillus was higher in the 2.6 km2 area provided with supplementary food, compared to the 1.9 km2control (unfed) area (1985-6: 88% of 163 birds in the fed area vs. 80% of 143 controls; 1986-7: 65% of 192 vs. 53% of 137). However, there were no significant differences in the proportion of chickadees acquiring local breeding territories, or in local breeding densities (1986: 54% of fed birds acquiring local breeding territories and 15.3 pairs/km2 vs. 66% and 17.2 pairs/km2 for controls; 1987: 66% and 16.1 pairs/km2 vs. 71% and 14.0 pairs/km2). Supplementary food consisted of multiple feeding stations, each with between two and four feeders, filled weekly with sunflower seeds. ",Control-Impact,1988,Canada,North America,Yes,NA
7351,Retain wildlife corridors in residential areas,Terrestrial Mammal Conservation,"A replicated study in 2012–2014 in seven semi-arid residential and agricultural sites in northern Botswana (Adams et al. 2017) found that retained wildlife corridors in residential areas were used by African elephants Locondonta africana and 18 other mammal species. There were 2,619 camera-trap images of elephants captured, over 516 days. Elephant activity peaked in August, when 13 elephants/day were detected. Nineteen mammal species in total were recorded, including civet Civettictis civetta and buffalo Syncerus caffer (other species not named). Seven corridors that crossed urban and agricultural areas between a forest reserve and a major river were monitored using camera traps. The seven corridors were either fenced or otherwise ran between developed areas. They were 750–1,700 m long and 3–250 m wide. Camera traps were attached to trees or posts at 1.5–1.8 m high and operated for 24 hours/day from 1 November 2012 to 30 April 2014.",After,2017,Botswana,Africa,Yes,NA
5587,Legal protection of forests,Forest Conservation,"A site comparison study in tropical moist forest in Nigeria (Adekunle, Olagoke &amp; Ogundare 2010) found that legal protection of forest increased trees species richness and diversity. The number of tree species observed was 46 vs 24, the number of tree families observed was 21 vs 14, and trees diversity (Shannon index) was 3.16 vs 3.04 in a protected forest compared with a logged forest. Trees were sampled in eight 20×20 m plots in one protected forest (constituted as strict nature reserve by the forestry research institute of Nigeria) and one logged forest (where active logging activities are in progress). ",Control-Impact,2010,Nigeria,Africa,Yes,NA
3553,Provide or retain un-harvested buffer strips,Bird Conservation,"A replicated, controlled paired sites study from June-July in 1994-5 in 16 pairs of forested buffer strips (20-50 m) and undisturbed riparian coastal forest in Newfoundland, Canada (4), found that bird abundance was higher in the buffer strips (average of 10.5 individuals/transect for buffer strips vs. 7.9 for control sites),  total species richness was similar (7.2 species/transect in buffers vs. 6.2 in controls) but that three of six specialist forest species were absent. Abundance of forest generalist, interior forest, and riparian species were similar between buffers and controls and did not increase in wider buffers. Buffer strips were adjacent to 3-5 year-old clear-cuts (&gt; 10 ha) and were typically &gt; 300 m long.",Control-Impact,1999,Canada,North America,Yes,NA
2305,Restore or create grasslands,Bird Conservation,"A before-and-after study in southern Iceland in 2009 (Gunnarsson &amp; Indridadottir 2009) found that eight species of birds were found in the study site following the revegetating of ‘sandplains’, but no birds were found in barren sandplains or strips of lyme grass Leymus arenarius. Meadow pipits Anthus pratensis, common snipe Gallinago gallinago and redshank Tringa totanus were the most common species and found at highest abundances in dense areas of Nootka lupin Lupinus nootkathensis (210 meadow pipits/km2, 46 snipe/km2 and 19 redshank/km2 vs. 83 pipits/km2 and 13 snipe/km2 in areas of scattered lupins). Only meadow pipits were found in any habitat without lupins. Revegetation began in earnest in 1988, when areas were sown with lyme grass (65 kg seeds/ha), followed by lupin strips from 1992 (4 kg seeds/ha) and non-native grasses. All treatments except lupins were also fertilised. ",Before-After,2009,Iceland,Europe,Yes,NA
6018,Soil: Add compost to the soil,Mediterranean Farmland,"A replicated, randomized, controlled study in 2001–2005 in the Guadalquivir Valley, Andalusia, Spain, found more soil organisms, more carbon dioxide, and greater stability in soils with four years of added compost, compared to soils without added compost. Soil organisms: More microbial biomass (measured as carbon) was found in soils with added compost, after 3–4 years of adding it, compared to soils without it, in five of six comparisons (351–501 vs 118–120 µg C/g dry soil), but no differences were found after 1–2 years of adding compost (171–317 vs 119–128). Greenhouse gases: More carbon dioxide was found in soils with added compost, after four years of adding it, compared to soils without added compost (1,596–2,004 vs 859 mg/kg soil). Soil erosion and aggregation: More stable soils were found in plots with added compost, after 3–4 years of adding it, compared to plots without it (data reported as log instability index), and more stable soils were also found after two years of adding compost, in two of three comparisons, but no differences were found after one year of adding it. Methods: There were three plots (10 x 7 m) for each of three treatments (5, 7.5, or 10 t/ha of organic matter, added as composted beet vinasse and crushed cotton gin waste) and one control (no compost). The compost was added in October 2001–2004. Soil samples were collected one day before the compost was added (four subsamples/plot, 0–25 cm depth). ",RCT,2007,Spain,Europe,Yes,NA
8505,Fit mesh escape panels/windows to a trawl net,Marine Fish Conservation,"A replicated, paired, controlled study in 1993 of two seabed areas in the North Sea off Scotland, UK (Madsen et al. 1999) found that prawn trawl nets fitted with a square mesh escape panel in the codend caught fewer undersized non-target haddock Melanogrammus aeglefinus and Atlantic cod Gadus morhua, but not whiting Merlangius merlangus, compared to a conventional trawl without a panel. Numbers of undersized haddock (&lt;35 cm) and cod (&lt;40 cm) were lower in codends with an escape panel than conventional codends (haddock, with: 3,207, without: 6,360; cod, with: 650, without: 976), and undersized whiting (&lt;23 cm) catches were similar (with: 16, without: 37). Catches of marketable sizes were similar in panel and conventional codends for haddock (282 vs 284) and cod (464 vs 485) but lower for whiting (1,671 vs 4,074). In addition, catches were similar in panel and conventional codends for undersized (&lt;4 cm) Norway lobster Nephrops norvegicus (4,386 vs 4,940) but lower for legally sized lobster (4,103 vs 1,769). The selection length (the length at which half of fish of that size will escape and half will be retained) was higher in panel than conventional codends for haddock (28.1 vs 25.2 cm) and whiting (35.1 vs 31.4 cm) but similar for cod (29.8 vs 26.3 cm) and lobster (3.8 vs 3.8 cm). Two research cruises were carried out in Fladen Ground and East Ground in 1993 using a twin trawl. One trawl was fitted with a 2 × 1.15 m long square mesh (90 mm) panel 2 m ahead of the codend, and one used a conventional codend. Both codends used 90 mm diamond mesh. Two small mesh covers installed over the codends and square mesh panel collected the escaping catch. Sub-samples of cover and codend catches were sorted and weighed, and lengths recorded.",Control-Impact,1999,United Kingdom,Europe,Yes,NA
